Créneau,Nombre d'étudiants
1/01 AM,5
2/01 AM,5
3/01 AM,5
5/01 AM,5
8/01 AM,5
9/01 AM,5
10/01 AM,5
11/01 AM,5
12/01 AM,3
13/01 AM,5
15/01 AM,5
16/01 AM,5
