Horodateur,Matricule,20/06 AM,20/06 PM,21/06 AM,21/06 PM,22/06 AM,22/06 PM,23/06 AM,23/06 PM,24/06 AM,24/06 PM,25/06 AM,25/06 PM,27/06 AM,27/06 PM,28/06 AM,28/06 PM,29/06 AM,29/06 PM,30/06 AM,30/06 PM,01/07 AM,01/07 PM,02/07 AM,02/07 PM
25/03/2022 17:12:39,540186,1,1,1,1,1,1,1,1,1,1,1,2,8,9,10,10,10,10,10,10,1,1,1,1
25/04/2022 10:46:46,540241,1,1,1,1,10,10,10,10,8,8,1,1,1,1,1,1,1,1,1,1,1,1,1,1
04/04/2022 17:07:47,540247,1,1,1,1,3,3,3,3,4,5,5,5,5,5,5,5,8,8,8,8,1,1,1,1
24/03/2022 16:55:30,540248,1,1,1,1,3,3,6,6,8,8,10,9,8,7,7,7,1,1,1,1,5,5,4,4
28/03/2022 20:32:38,540250,3,3,3,3,3,3,3,3,10,10,10,10,7,7,1,1,1,1,2,2,1,1,1,1
25/03/2022 12:32:55,540251,1,1,1,1,1,1,1,1,1,1,3,3,5,5,6,6,10,10,10,10,10,10,10,8
20/04/2022 19:53:43,540254,1,1,1,1,1,1,1,1,1,1,5,5,6,6,7,7,8,8,10,10,1,1,1,1
30/03/2022 13:14:04,540257,10,9,9,9,8,8,4,4,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
28/03/2022 10:45:10,540258,1,1,8,6,10,6,10,6,6,6,9,6,3,3,3,3,3,3,3,3,3,3,3,3
24/03/2022 17:42:30,540316,1,1,1,1,1,1,1,1,2,5,2,3,3,9,1,10,2,10,2,10,2,6,2,7
22/04/2022 11:41:02,540321,1,1,1,1,1,1,1,1,1,1,4,4,7,6,8,8,9,10,10,10,9,8,7,6
24/03/2022 21:08:41,540322,1,1,10,10,8,8,4,4,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1
25/03/2022 14:58:51,540329,1,1,2,2,3,3,8,7,10,9,9,9,5,5,5,5,2,2,1,1,1,1,1,1
26/03/2022 14:21:51,540333,10,10,8,8,6,6,4,4,2,2,2,2,2,2,2,2,2,2,1,1,1,1,1,1
18/04/2022 11:17:02,540336,1,1,1,1,1,1,7,7,10,10,10,10,3,3,2,2,1,1,1,1,1,1,1,1
30/03/2022 13:17:22,540337,1,1,1,1,5,5,10,10,10,10,10,10,10,10,3,3,1,1,1,1,1,1,1,1
23/04/2022 23:12:38,540342,5,5,5,5,5,5,5,5,5,5,6,5,5,6,5,5,5,5,6,6,5,5,5,5
22/04/2022 04:49:02,540348,1,1,1,1,1,1,1,1,1,10,10,10,10,10,10,10,10,10,10,10,1,1,1,1
28/03/2022 12:38:22,540354,1,1,1,1,10,10,10,10,10,10,8,8,1,1,1,1,1,1,1,1,1,1,1,1
24/03/2022 16:31:24,540357,10,10,10,10,10,10,10,10,10,10,1,1,1,1,1,1,1,1,1,1,1,1,1,1
25/03/2022 10:17:08,540358,1,1,1,1,10,10,7,7,10,10,2,1,1,1,1,1,1,1,1,1,1,1,1,1
24/03/2022 16:04:04,540415,6,6,10,10,5,5,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
28/03/2022 18:48:18,540417,10,9,10,9,8,6,6,5,3,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1
24/03/2022 23:24:50,540434,1,1,1,1,1,1,1,1,2,2,4,4,10,10,10,10,9,9,8,8,1,1,1,1
29/03/2022 03:03:25,540437,1,5,1,5,1,5,1,6,1,6,1,10,1,1,1,1,1,1,1,1,1,1,1,1
24/03/2022 17:51:45,540442,6,10,10,10,9,9,8,8,7,7,6,6,5,5,1,1,1,1,1,1,1,1,1,1
29/03/2022 10:26:18,540443,1,1,1,1,1,1,1,1,1,2,1,5,1,8,1,10,1,10,1,1,1,1,1,1
24/03/2022 16:40:03,540530,1,1,1,1,1,1,1,1,1,2,1,3,3,7,6,8,7,9,7,10,5,8,4,7
28/03/2022 09:55:42,540535,1,1,1,1,1,1,9,9,10,10,5,5,1,1,1,1,1,1,1,1,1,1,1,1
28/03/2022 14:36:02,540537,8,10,8,10,8,10,8,10,8,10,1,1,1,1,1,1,1,1,1,1,1,1,1,1
24/04/2022 10:46:56,540539,2,2,2,2,2,2,2,2,6,6,7,7,9,9,10,10,10,10,4,4,1,1,1,1
22/04/2022 07:42:01,540540,6,10,6,10,6,10,6,10,6,10,6,10,5,7,5,7,1,1,1,1,1,1,1,1
24/03/2022 16:03:37,540545,10,10,10,10,10,10,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
30/03/2022 13:20:30,540547,1,1,1,1,1,1,1,1,6,1,8,1,10,1,10,1,10,1,1,1,1,1,1,1
24/03/2022 16:08:11,540549,1,1,1,1,1,1,6,6,6,6,6,6,8,8,8,8,10,10,8,8,6,6,6,6
02/04/2022 18:25:08,540565,1,1,1,1,5,5,5,5,10,10,10,10,10,10,1,1,1,1,1,1,1,1,1,1
22/04/2022 01:17:00,540571,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,10
27/03/2022 23:35:38,540596,1,1,1,1,1,1,1,1,1,1,1,1,5,5,6,6,7,7,8,8,10,10,10,10
