Horodateur,Matricule,20/06 AM,20/06 PM,21/06 AM,21/06 PM,22/06 AM,22/06 PM,23/06 AM,23/06 PM,24/06 AM,24/06 PM,25/06 AM,25/06 PM,27/06 AM,27/06 PM,28/06 AM,28/06 PM,29/06 AM,29/06 PM,30/06 AM,30/06 PM,01/07 AM,01/07 PM,02/07 AM,02/07 PM
24/03/2022 17:58:44,513158,1,1,1,1,10,10,10,10,10,10,1,1,1,1,1,1,10,10,10,10,10,10,1,1
24/03/2022 16:05:24,513162,10,10,8,8,5,5,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
21/04/2022 22:23:31,513232,2,1,1,1,2,2,2,2,10,10,10,10,8,8,1,1,1,1,1,1,1,1,1,1
25/03/2022 10:58:44,513267,10,10,9,9,8,8,7,7,6,6,5,5,4,4,3,3,2,2,1,1,1,1,1,1
24/03/2022 19:46:24,513447,1,1,1,1,1,1,1,1,1,1,1,1,10,10,9,9,8,8,7,7,1,1,1,1
24/03/2022 16:35:32,513449,1,1,1,1,5,5,5,5,5,5,10,10,10,10,7,7,7,7,7,7,1,1,1,1
25/03/2022 10:11:49,513455,4,4,4,4,4,4,8,8,8,8,8,8,6,6,3,3,3,3,3,3,1,1,1,1
23/04/2022 18:10:14,513457,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,3,5,6,8,9,9,10
30/03/2022 14:26:39,513467,6,10,6,10,6,10,6,10,6,10,6,10,1,1,1,1,1,1,1,1,1,1,1,1
28/03/2022 17:50:53,513477,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,8,10,10,10,10,10,8
22/04/2022 07:50:48,513482,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,1,1,1,1
24/03/2022 16:07:54,513484,1,1,1,1,3,3,3,5,5,5,8,8,10,10,10,10,5,5,1,1,1,1,1,1
24/03/2022 16:35:01,513575,5,5,7,7,10,10,10,10,9,9,8,8,1,1,1,1,1,1,1,1,1,1,1,1
24/03/2022 16:06:09,513576,1,1,1,1,1,1,1,1,1,7,10,10,10,10,6,7,1,1,1,1,1,1,1,1
25/03/2022 09:45:26,513579,1,1,1,1,1,1,1,1,10,1,1,1,10,4,10,10,10,10,10,10,10,10,10,10
24/03/2022 16:08:10,513600,1,1,1,1,10,10,10,10,10,10,1,1,1,1,1,1,1,1,1,1,1,1,1,1
28/03/2022 10:25:42,513655,1,1,1,1,1,1,1,1,1,1,10,10,10,10,10,10,10,10,1,1,1,1,1,1
24/03/2022 20:34:48,513769,1,1,1,1,1,1,9,9,10,10,10,10,9,9,1,1,1,1,1,1,1,1,1,1
24/03/2022 16:43:55,513806,1,1,1,1,1,3,3,6,3,10,3,10,3,8,3,6,3,6,1,4,1,4,1,4
24/03/2022 16:50:23,513809,1,1,1,1,1,1,1,1,1,1,1,1,7,8,7,10,7,8,1,1,1,1,1,1
24/03/2022 16:05:56,513879,5,5,10,10,10,10,10,10,10,10,6,6,1,1,1,1,1,1,1,1,1,1,1,1
25/03/2022 10:12:59,513936,8,10,8,10,8,10,8,10,8,10,8,10,9,10,9,10,3,3,3,3,3,3,3,3
24/03/2022 16:35:22,513979,1,1,1,4,9,9,10,10,10,10,3,1,1,1,1,1,1,1,1,1,1,1,1,1
24/03/2022 16:46:58,513984,10,10,1,1,1,1,1,1,1,1,1,1,10,10,1,1,1,1,1,1,1,1,1,1
05/04/2022 20:21:01,514026,1,1,1,1,1,1,1,1,1,1,1,1,10,10,10,10,10,1,1,1,1,1,1,1
24/03/2022 16:08:33,514042,10,2,10,2,10,2,10,2,10,2,10,2,10,2,10,2,10,2,10,2,10,2,10,2
28/03/2022 15:58:37,514067,1,1,1,1,1,2,2,2,2,1,1,2,1,1,1,10,1,1,1,1,1,1,1,1
24/03/2022 16:45:06,514072,1,1,1,1,1,1,1,1,3,3,4,4,7,7,8,8,9,9,8,8,3,3,3,3
24/03/2022 15:40:26,514087,1,1,1,1,1,1,1,2,1,10,10,10,1,1,1,1,1,1,1,1,1,1,1,1
27/03/2022 12:03:01,514088,1,1,1,1,1,1,1,1,3,3,10,10,9,9,5,5,1,1,1,1,1,1,1,1
24/03/2022 22:41:28,514146,2,2,2,2,2,2,2,2,4,6,6,10,6,10,6,10,6,10,1,1,1,1,6,10
28/03/2022 12:35:21,514169,10,10,10,10,10,10,10,10,10,10,1,1,1,1,1,1,1,1,1,1,1,1,1,1
24/03/2022 21:30:21,514171,1,1,1,1,1,2,2,3,4,4,10,10,10,10,10,10,5,5,3,3,1,1,1,1
24/03/2022 17:30:29,514173,10,10,10,10,10,10,10,10,10,10,1,1,4,4,4,4,4,4,1,1,1,1,1,1
27/03/2022 11:47:16,514174,1,1,1,1,3,5,4,5,10,10,1,1,1,1,1,1,1,1,1,1,1,1,1,1
24/03/2022 16:41:11,514175,1,1,1,1,1,1,1,1,1,1,2,2,10,10,5,5,3,3,1,1,1,1,1,1
30/03/2022 14:54:09,514238,1,1,1,1,10,10,10,10,1,1,1,1,1,1,1,1,5,5,5,5,1,1,1,1
26/03/2022 10:22:13,514246,1,1,1,1,5,2,8,1,6,2,9,4,3,1,3,1,2,1,1,1,1,1,1,1
22/04/2022 00:44:15,514283,1,1,1,1,4,6,10,9,10,8,5,3,1,1,1,1,1,1,1,1,1,1,1,1
25/03/2022 03:58:00,514345,4,4,6,6,7,8,7,8,7,8,7,8,1,1,1,1,1,1,1,1,1,1,1,1
29/03/2022 20:24:11,514348,8,10,7,9,6,8,5,7,4,6,3,5,2,4,1,1,1,1,1,1,1,1,1,1
24/03/2022 16:16:59,514349,1,1,1,1,1,1,1,1,1,1,1,1,5,5,8,8,10,10,10,10,1,1,1,1
25/04/2022 18:35:09,514352,1,1,1,1,1,1,1,1,1,1,5,5,5,5,5,6,7,7,10,10,10,10,10,10
24/03/2022 16:06:18,514365,1,1,1,1,1,1,1,1,10,10,10,10,8,8,5,5,1,1,1,1,1,1,1,1
25/03/2022 21:50:46,514375,1,1,1,1,1,1,1,1,1,1,2,2,3,3,5,5,8,8,9,9,10,10,10,10
24/03/2022 17:50:35,514411,1,1,1,1,1,1,1,1,3,3,5,5,10,10,10,10,10,10,4,4,3,3,2,2
24/03/2022 17:41:33,514412,6,8,1,1,8,8,10,10,10,9,5,7,1,1,1,1,1,1,1,1,1,1,1,1
08/04/2022 11:41:39,514418,1,1,1,1,1,1,5,5,7,7,8,8,9,9,9,2,3,3,3,3,2,2,1,1
20/04/2022 22:29:08,514503,1,1,1,1,1,1,1,1,1,1,1,1,10,10,10,10,5,5,1,1,1,1,1,1
30/03/2022 13:22:24,514564,1,1,2,1,1,1,1,1,10,10,10,10,10,10,10,10,1,1,1,1,1,1,1,1
02/04/2022 16:38:17,514575,1,1,1,1,1,1,10,10,10,10,10,10,1,1,1,1,1,1,1,1,1,1,1,1
25/03/2022 22:12:52,514682,1,1,2,1,2,1,2,1,10,1,10,1,10,1,10,1,6,1,6,1,4,1,4,1
24/03/2022 16:08:48,514686,4,6,8,9,8,9,10,10,10,10,5,5,1,1,1,1,1,1,1,1,1,1,1,1
24/03/2022 16:14:52,515093,10,6,10,6,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,6,6,8,8
24/03/2022 16:44:27,515390,1,1,1,1,1,1,1,1,1,1,1,1,10,10,8,8,4,4,1,1,1,1,1,1
24/03/2022 16:08:49,516254,1,1,1,1,1,1,1,1,1,1,5,7,5,10,6,10,1,1,1,1,1,1,1,1
27/03/2022 10:16:07,517455,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,3,3,6,6,10,10,10,10
24/04/2022 01:44:30,521665,1,1,1,1,8,8,10,10,6,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
26/03/2022 12:37:48,521668,1,1,1,1,1,1,1,1,1,1,5,5,10,10,10,10,10,10,10,10,10,10,1,1
27/03/2022 21:51:59,521670,6,6,6,6,6,6,6,6,10,10,10,10,7,7,7,7,4,4,1,1,1,1,1,1
26/03/2022 16:02:23,521671,1,2,1,2,1,7,1,8,2,9,1,4,1,4,1,3,1,2,1,1,1,1,1,1
24/03/2022 16:29:26,523662,1,10,5,6,5,6,5,7,9,10,1,1,4,6,5,6,5,6,5,6,5,6,1,1
24/03/2022 16:35:21,523779,10,10,10,9,7,6,3,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
25/03/2022 14:52:14,523839,1,1,1,1,10,10,10,8,7,6,5,5,4,4,4,4,4,4,4,4,1,1,1,1
24/03/2022 18:58:39,524191,1,1,1,1,1,1,1,1,1,1,10,10,10,10,10,10,10,10,10,10,10,10,10,10
04/04/2022 20:50:47,525776,1,1,1,1,1,1,1,1,1,10,1,10,1,10,10,10,10,10,10,10,10,10,10,10
24/03/2022 17:32:39,527675,10,10,10,10,10,10,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1
24/03/2022 16:19:53,529558,2,2,2,2,9,10,10,10,10,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
30/03/2022 16:09:34,529624,9,2,8,3,6,5,7,5,7,4,1,10,10,1,10,1,7,5,6,6,1,1,1,1
29/03/2022 20:01:52,530077,1,1,10,10,10,10,3,3,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
25/03/2022 10:18:12,530176,1,1,1,2,2,3,3,4,5,9,7,1,1,1,1,4,5,8,2,3,1,1,1,1
20/04/2022 09:08:49,530406,1,2,1,2,1,3,2,6,3,7,3,8,3,9,4,9,5,10,6,10,1,1,1,1
25/03/2022 19:21:14,530434,1,1,1,1,3,3,10,5,10,5,10,5,1,1,1,1,1,1,1,1,1,1,1,1
24/03/2022 21:17:40,530533,8,7,10,9,7,6,6,5,5,5,2,2,2,2,2,2,2,2,2,2,2,2,2,2
24/03/2022 16:09:33,531034,7,3,7,3,7,3,7,3,7,3,7,3,7,3,7,3,7,3,7,3,7,3,7,3
22/04/2022 10:43:28,531041,1,1,1,1,4,5,8,10,7,7,5,6,4,5,3,5,3,3,3,3,1,1,1,1
24/03/2022 16:05:01,531994,10,10,10,10,10,10,10,10,10,10,10,10,8,8,5,1,1,1,1,1,1,1,1,1
26/03/2022 17:42:10,532686,1,1,1,1,1,1,7,7,10,10,10,10,9,9,3,3,2,2,1,1,1,1,1,1
12/04/2022 22:37:09,532844,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10
24/03/2022 16:25:44,532877,1,1,1,1,1,1,10,5,10,5,10,6,1,10,7,4,6,3,5,3,1,1,1,1
31/03/2022 02:03:32,533266,10,10,9,9,8,8,7,7,6,6,5,5,4,4,3,3,2,2,1,1,1,1,1,1
21/04/2022 22:48:55,534793,3,3,3,3,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10
24/03/2022 17:43:43,535552,1,1,1,2,2,2,8,8,10,10,10,10,8,8,1,1,1,1,1,1,1,1,1,1
01/04/2022 10:56:49,536332,1,1,1,1,1,1,1,1,1,1,1,5,5,8,10,10,10,10,10,10,5,5,4,4
22/04/2022 13:10:43,538368,1,1,1,1,1,1,3,3,10,10,10,10,3,3,1,1,1,1,1,1,1,1,1,1
25/04/2022 17:16:16,538577,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,8,8,10,10,10,10
20/04/2022 09:38:48,539160,5,5,5,5,10,10,10,10,10,10,10,10,1,1,1,1,1,1,1,1,1,1,1,1
28/03/2022 18:17:46,539161,1,1,1,1,8,9,10,9,5,5,5,5,2,2,1,1,1,1,1,1,1,1,1,1
24/03/2022 16:55:01,539162,10,10,10,10,5,4,2,2,2,2,2,2,2,1,1,1,1,1,1,1,1,1,1,1
27/03/2022 22:30:01,539165,8,10,8,10,8,10,8,10,8,10,1,1,8,10,8,10,8,10,8,10,1,1,1,1
24/03/2022 16:07:13,539166,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,4,4,9,10,10,9,8,8
27/03/2022 22:18:11,539167,9,9,10,10,9,9,7,7,7,7,6,6,1,1,1,1,1,1,1,1,1,1,1,1
24/03/2022 16:17:16,539169,1,1,1,1,1,1,1,1,1,8,1,8,1,1,1,8,1,8,1,8,1,8,1,8
24/03/2022 16:06:32,539172,1,3,1,6,1,7,1,8,1,9,1,10,1,1,1,1,1,1,1,1,1,1,1,1
24/03/2022 16:48:54,539180,1,1,1,1,1,1,6,6,10,10,6,6,3,3,3,3,1,1,1,1,1,1,1,1
04/04/2022 15:33:35,539182,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,5,5,7,7,9,9,10,10
21/04/2022 21:32:31,539183,1,1,1,1,1,1,1,1,1,1,7,8,5,8,1,1,3,3,1,1,1,1,1,1
24/03/2022 16:44:45,539190,1,2,4,6,10,10,10,10,10,10,8,8,7,6,6,4,4,4,4,2,2,1,1,1
25/03/2022 11:11:07,539222,1,1,1,1,10,10,10,10,8,8,1,1,1,1,1,1,1,1,1,1,1,1,1,1
23/04/2022 13:37:33,539282,5,5,5,5,5,5,5,5,7,10,7,10,1,1,1,1,1,1,1,1,1,1,1,1
30/03/2022 13:17:08,539285,1,1,1,1,1,1,1,1,1,1,10,8,8,8,10,4,4,4,4,1,1,1,1,1
24/03/2022 16:21:37,539286,1,1,1,1,1,1,1,1,8,10,10,10,5,5,3,3,3,3,3,3,1,1,1,1
28/03/2022 14:42:53,539289,1,1,2,1,1,1,1,2,3,3,3,3,5,5,8,9,10,9,8,7,7,7,7,5
27/03/2022 08:20:56,539291,1,1,1,1,1,1,4,10,7,10,7,10,3,3,2,2,1,1,1,1,1,1,1,1
28/03/2022 14:40:36,539294,1,1,1,1,1,1,1,1,1,1,1,1,10,10,10,10,10,10,10,10,10,10,5,5
24/03/2022 16:55:44,539297,1,1,2,3,5,10,7,10,6,10,2,3,1,1,1,1,1,1,1,1,1,1,1,1
27/03/2022 22:44:37,539321,1,1,1,1,1,1,2,5,1,6,1,1,1,1,1,1,1,6,1,8,5,10,5,10
20/04/2022 08:06:41,539334,8,8,5,9,6,8,4,5,4,4,4,3,3,3,4,4,3,3,3,3,3,3,1,1
24/03/2022 17:48:01,539381,6,1,10,9,10,9,10,9,7,7,1,1,1,1,1,1,1,1,1,1,1,1,1,1
27/03/2022 13:12:14,539382,1,1,2,2,2,2,4,4,6,6,9,9,10,10,7,7,5,5,3,3,2,2,1,1
24/03/2022 16:37:06,539440,3,3,10,10,10,10,10,10,10,10,10,10,1,1,1,1,1,1,1,1,1,1,1,1
28/03/2022 01:26:41,539442,1,1,1,1,3,3,10,10,4,4,1,1,1,1,1,1,1,1,1,1,1,1,1,1
20/04/2022 08:28:39,539443,10,1,8,2,10,2,10,1,10,1,10,1,10,1,10,1,10,1,10,1,10,1,10,1
24/03/2022 19:00:15,539445,1,1,1,1,1,1,1,1,1,1,1,1,10,10,10,10,10,10,10,10,1,1,1,1
24/03/2022 16:19:52,539447,1,1,4,4,10,10,10,10,10,10,5,5,1,1,1,1,1,1,1,1,1,1,1,1
28/03/2022 13:05:32,539448,1,1,1,1,8,8,10,10,7,7,1,1,1,1,1,1,1,1,1,1,1,1,1,1
24/03/2022 16:34:55,539449,1,1,1,1,1,1,1,1,1,1,1,1,5,5,5,5,10,10,10,10,1,1,1,1
28/03/2022 10:08:40,539450,2,2,1,2,2,2,2,2,7,5,5,5,8,5,8,5,8,5,7,5,7,5,7,5
24/03/2022 17:30:32,539509,1,1,2,2,2,3,3,4,5,10,8,10,8,10,7,10,4,6,3,4,1,1,1,1
25/03/2022 13:35:45,539528,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10
