Timestamp,Matricule,10/01 AM,10/01 PM,11/01 AM,11/01 PM,12/01 AM,14/01 PM,15/01 AM,15/01 PM,17/01 AM,17/01 PM,18/01 PM,19/01 AM,19/01 PM,20/01 AM,22/01 PM,25/01 PM,26/01 AM,26/01 PM,27/01 AM,29/01 AM,29/01 PM
11/28/2021 18:24:53,000495533,1,1,1,2,2,1,7,8,10,10,10,8,5,3,1,1,1,1,1,1,1
11/28/2021 19:14:39,000541042,7,7,7,7,1,1,7,7,10,10,10,10,10,1,1,10,10,10,1,1,1
11/28/2021 19:39:31,000459818,1,1,5,6,7,10,7,7,9,9,10,3,3,1,1,1,1,1,4,10,10
11/28/2021 21:57:10,000440812,1,1,1,1,1,1,1,1,10,10,10,10,10,1,1,1,1,1,1,1,1
11/28/2021 23:36:57,475649,4,4,3,2,1,1,5,4,10,8,4,10,10,2,1,1,3,2,8,8,6
11/29/2021 8:40:04,000473833,1,1,4,4,7,10,7,7,5,5,4,7,7,8,2,3,1,3,4,9,9
11/29/2021 9:08:33,INCOM5 000541435,3,3,3,3,4,1,1,1,3,1,1,1,1,1,5,10,10,10,10,7,7
11/29/2021 13:22:02,494596,1,1,1,1,1,1,1,1,10,10,10,7,7,1,8,7,6,5,1,8,9
11/29/2021 13:22:02,494713,1,1,1,1,1,1,1,1,10,10,10,8,8,1,6,8,6,5,1,8,9
11/29/2021 17:41:53,000408857,3,4,3,4,2,1,4,5,1,1,1,3,5,10,1,1,4,5,10,10,10
11/29/2021 18:13:18,000453679,1,1,1,1,1,1,1,1,10,10,2,10,10,10,10,1,1,1,1,1,1
11/29/2021 21:20:01,000459816,3,3,3,3,1,3,10,10,1,1,3,3,7,3,1,3,3,3,1,3,3
11/30/2021 7:47:07,000542201,2,2,2,2,1,1,1,1,2,2,2,1,1,3,7,10,10,10,10,7,5
11/30/2021 12:35:21,493487,8,10,8,10,7,10,7,9,1,1,10,1,1,1,1,1,1,1,1,5,7
11/30/2021 14:28:19,493241,1,1,1,1,1,2,4,6,10,8,7,5,3,1,1,8,7,5,2,1,1
11/30/2021 19:42:41,494472,3,3,1,1,1,1,1,1,10,10,7,5,5,1,1,1,2,1,1,1,1
