Créneau,Nombre d'étudiants
10/01 AM,7
10/01 PM,7
11/01 AM,7
11/01 PM,8
12/01 AM,8
14/01 PM,8
15/01 AM,8
15/01 PM,8
17/01 AM,1
17/01 PM,3
18/01 PM,5
19/01 AM,8
19/01 PM,7
20/01 AM,8
22/01 PM,8
25/01 PM,7
26/01 AM,6
26/01 PM,8
27/01 AM,7
29/01 AM,8
29/01 PM,7
