Créneau,Nombre d'étudiants
9/01 AM, 12
11/01 PM, 16
14/01 AM, 12
14/01 PM, 16
17/01 AM, 12
19/01 AM, 12
19/01 PM, 3
20/01 AM, 12
23/01 AM, 12
23/01 PM, 3
25/01 PM, 3
26/01 AM, 12
26/01 PM, 15
27/01 AM, 12
27/01 PM, 3
28/01 AM, 12
28/01 PM, 15
