Matricule,9/01 AM,11/01 PM,14/01 AM,14/01 PM,17/01 AM,19/01 AM,19/01 PM,20/01 AM,23/01 AM,23/01 PM,25/01 PM,26/01 AM,26/01 PM,27/01 AM,27/01 PM,28/01 AM,28/01 PM
540545, , , ,X, , , , , , , , , , , , , 
540062, , ,X, , , , , , , , , , , , , , 
539169, , , , , , , , , , , , , , , ,X, 
530543, ,X, , , , , , , , , , , , , , , 
539165, , , , ,X, , , , , , , , , , , , 
539799, , ,X, , , , , , , , , , , , , , 
530434, ,X, , , , , , , , , , , , , , , 
539794, , , , , , , , , , , , , , , , ,X
539285, , , , , , , , , , , , , ,X, , , 
513467, , , , , , , , , , , , ,X, , , , 
539381, , , , , , , , , , ,X, , , , , , 
512980, , , , , , , , , , , , , , , , ,X
540795, , , , ,X, , , , , , , , , , , , 
530406, ,X, , , , , , , , , , , , , , , 
539531, , ,X, , , , , , , , , , , , , , 
512948, , , , , , , , , , , , , ,X, , , 
540055, , , , , , , ,X, , , , , , , , , 
540168, , , , , , , , , , , , ,X, , , , 
540349, , , , , , , , , , , , , , , ,X, 
539162,X, , , , , , , , , , , , , , , , 
475940, , , ,X, , , , , , , , , , , , , 
539161, , , ,X, , , , , , , , , , , , , 
539614, ,X, , , , , , , , , , , , , , , 
540257, , , , , , , , , , , , , ,X, , , 
544250, , , , , , , , , , , ,X, , , , , 
514345, , , , , , , , , , , , ,X, , , , 
513157, , , ,X, , , , , , , , , , , , , 
539528, , , , , ,X, , , , , , , , , , , 
523779, , , , , , , , ,X, , , , , , , , 
540354, , ,X, , , , , , , , , , , , , , 
512712, , , , ,X, , , , , , , , , , , , 
509412, , , ,X, , , , , , , , , , , , , 
489755, , , , , , , , , , , , , , , ,X, 
540747, , , , , , , , , , , , , , , ,X, 
540258, , , , , , , , , , , ,X, , , , , 
540549, , , , , , , , , , , , , , , ,X, 
495928, , , , ,X, , , , , , , , , , , , 
539440, ,X, , , , , , , , , , , , , , , 
540034, , , , , ,X, , , , , , , , , , , 
426169, , , , , , , , , , , , , , , , ,X
518966, , , , , , , , , , , , , ,X, , , 
540600, , , , ,X, , , , , , , , , , , , 
543938, , , , , , , , ,X, , , , , , , , 
514171, , , , , , , , , , , , , , , , ,X
512832, , , , , , , , , , , , , , , , ,X
513484,X, , , , , , , , , , , , , , , , 
540415, , , , , , , , ,X, , , , , , , , 
539442, , , , , , , , ,X, , , , , , , , 
